facility_id_1,facility_id_2,zipcode,distance_miles
51349,609919,10474,0.02789071908209707
51349,633751,10474,0.02789071908209707
51349,601505,10474,0.04237468789243575
274852,385789,10460,0.05593334308471482
274852,743579,10460,0.037859332962934915
349917,868357,10452,0.0
349917,673051,10452,0.058682416659801534
349917,364787,10452,0.05724841396175589
349917,889546,10452,0.058682416659801534
386539,643534,10451,0.0
386539,535901,10451,0.0
386539,899186,10451,0.0
386539,919175,10451,0.009611131652322328
620002,649680,11366,0.0
624233,709801,10462,0.0
624233,905101,10462,0.040812244938349375
689575,734633,10035,0.01995418053922876
699643,801933,10467,0.041954613427451506
699643,787302,10467,0.006396170498587146
699643,900109,10467,0.006396170498587146
720363,819527,10469,0.038794213582407894
720363,920569,10469,0.038794213582407894
781415,915708,11211,0.0
791237,821340,11211,0.0592253909452359
886656,887199,10462,0.04527796084342026
568414,777635,10463,0.0
568414,585586,10463,0.02269574724741483
568414,912902,10463,0.04537325808224565
840230,860995,11691,0.0
881862,888468,11225,0.0
53014,71143,11208,0.052679348110729704
769206,853300,10456,0.04481234694910366
769206,808596,10456,0.028849809190812196
791983,805025,10037,0.0007625279595649759
74215,853987,10033,0.01901612686564989
585734,597346,11220,0.0
607560,901693,10452,0.0
367235,72099,11233,0.034716980064789134
867682,881319,10458,0.05576119264802703
867682,904027,10458,0.03462201160705144
216690,613161,11207,0.05617737372917239
216690,731195,11207,0.05833321462853065
216690,262566,11207,0.0
807903,848194,10457,0.05601238286068022
807903,828993,10457,0.023626009402629808
807903,834490,10457,0.04388699504133356
807903,850429,10457,0.023626009402629808
807903,915823,10457,0.0
449081,474607,11231,0.0
449081,534125,11231,0.0
754427,842141,10456,0.05784122807429676
754427,853061,10456,0.05784122807429676
378047,413138,11225,0.0
125354,349961,11385,0.0426239988627485
573635,882011,10468,0.021878293730797607
573635,737344,10468,0.0
573635,821929,10468,0.030159199542288927
858758,906791,10457,0.0
71190,886512,10025,0.0316824793683925
671714,890310,10466,0.05824950581211472
671714,895793,10466,0.05226653511513404
593803,882628,10469,0.004128523443074914
593803,890094,10469,0.0
629294,769035,10452,0.0
629294,877737,10452,0.0
629294,873138,10452,0.04213230839146442
629294,801831,10452,0.014596282918151494
629294,673051,10452,0.044410891571876124
629294,839395,10452,0.04213230839146442
629294,716797,10452,0.04213230839146442
629294,799638,10452,0.039475468049244
629294,821523,10452,0.04322804849908714
629294,901909,10452,0.04213230839146442
629294,894194,10452,0.0
629294,889546,10452,0.044410891571876124
725643,875110,10456,0.025334523030240745
786035,895044,10453,0.0491871438012982
786035,896379,10453,0.05374199392331391
527438,608492,10460,0.0
527438,72909,10460,0.058574346763290965
527438,637385,10460,0.0
819527,882845,10469,0.027538525756909602
819527,920569,10469,0.0
693176,834019,10451,0.03510848958006338
115986,814455,10033,0.03609045003736652
115986,451819,10033,0.04835855707518215
851783,908453,11694,0.045469206785303695
876491,918367,10453,0.04851343042335869
876491,910252,10453,0.013614670534808271
189651,408888,11385,0.030983880889271877
269754,817027,10033,0.00853100631584393
434713,766494,10456,0.04258512123810723
308883,915587,10304,0.04550746895310423
623209,869896,11221,0.034027453621011415
623209,818992,11221,0.003933722454360232
623209,894905,11221,0.04400239821749123
436306,845466,10457,0.02802139337214247
436306,699764,10457,0.02802139337214247
436306,812729,10457,0.028193974122079
436306,880304,10457,0.04762285008333511
436306,723195,10457,0.058995853210990275
436306,903653,10457,0.04216240009315465
436306,894333,10457,0.02802139337214247
838974,916193,10455,0.04906852309390193
838974,914586,10455,0.03916763545141097
838974,887465,10455,0.0
266584,694477,11370,0.05165876277051323
145182,711910,10463,0.035150510722120165
145182,877459,10463,0.03785093497376785
145182,636284,10463,0.00643926580056106
145182,394217,10463,0.05032617221504058
742495,878365,10029,0.0
627333,869596,10453,0.02840548570750738
627333,706703,10453,0.001961510704298041
627333,892736,10453,0.002767179683933427
73945,848698,10029,6.909341837970502e-05
659002,871484,10462,0.017828952253738064
659002,659005,10462,0.005339721332747776
247489,879992,10039,0.03314871571640165
247489,887441,10039,0.05073000471255406
749569,787283,10451,0.03975111944327223
749569,865366,10451,0.04903384226935276
749569,916906,10451,0.04903384226935276
549304,853035,10451,0.034996581908458904
549304,665708,10451,0.05463354631620368
549304,671956,10451,0.04564888537441461
882466,897113,10452,0.05301898008011347
882466,899529,10452,0.04427106314284176
882466,888388,10452,0.03157438987844434
882466,885449,10452,0.02717928203378919
882466,902266,10452,0.005859409796079187
736108,788766,11218,0.05203345568938062
736108,826434,11218,0.05203345568938062
391334,429471,11692,0.0
391334,411435,11692,0.05808652691470987
683420,849814,10458,0.024297440283276288
683420,780071,10458,0.05069294825035635
683420,739360,10458,0.04324581315883083
683420,756671,10458,0.024297440283276288
683420,853195,10458,0.03143835136827078
683420,898515,10458,0.0
683420,890174,10458,0.024297440283276288
683420,915051,10458,0.024297440283276288
374580,629294,10452,0.04213230839146442
374580,769035,10452,0.04213230839146442
374580,561137,10452,0.0579610107046247
374580,877737,10452,0.04213230839146442
374580,663498,10452,0.04206914692932264
374580,873138,10452,0.0
374580,801831,10452,0.03912173922884747
374580,839395,10452,0.0
374580,716797,10452,0.0
374580,773169,10452,0.0579610107046247
374580,901909,10452,0.0
374580,894194,10452,0.04213230839146442
857791,911276,10463,0.05519919152120036
348885,652938,11106,0.0
348885,535618,11106,0.05968767296870523
348885,909803,11106,0.05091359994002793
470395,506222,11235,0.02203743383867207
882804,888388,10452,0.05656008618649157
663091,827834,10040,0.04431509140041338
663091,877698,10040,0.022813360628494553
663091,785687,10040,0.022145164702848007
663091,898150,10040,0.04984410499204429
663091,906159,10040,0.022145164702848007
874794,879284,10467,0.0
874794,904075,10467,0.024446911019599244
874794,908049,10467,0.024446911019599244
874794,906363,10467,0.024446911019599244
874794,889481,10467,0.059644686643918414
350876,700840,10468,0.04588769350639451
350876,50263,10468,0.0
350876,880582,10468,0.04212965207340241
350876,744481,10468,0.02926403317319037
350876,867780,10468,0.04212965207340241
350876,869697,10468,0.02218885189684209
350876,534342,10468,0.0
350876,883383,10468,0.0
350876,912714,10468,0.04212965207340241
872586,899398,10025,0.05042105072144986
747457,852867,11238,0.050192573442160514
663199,767618,10453,0.0
663199,878999,10453,0.04469701107409981
663199,855105,10453,0.03512728352847837
663199,735082,10453,0.0
663199,895513,10453,0.05720431299180865
663199,919677,10453,0.0
663199,905841,10453,0.040508698224524096
845466,894333,10457,0.0
118175,826093,11215,0.03065785694349201
118175,892220,11215,0.01897516597414184
362595,517416,10468,0.054075737411810744
