candidate_id,facility_id,zipcode,distance_miles
5,837597,10001,0.026512588242334247
5,229433,10001,0.026512588242334247
48,837597,10001,0.021815602810572512
48,229433,10001,0.021815602810572512
66,837597,10001,0.04399583823987951
66,229433,10001,0.04399583823987951
86,837329,10001,0.04295275207509123
96,292419,10001,0.036847432004275926
123,820539,10002,0.05647008286891309
125,918787,10002,0.04747878714691374
132,247404,10002,0.058607425263642564
137,73423,10002,0.017614724509814102
138,209013,10002,0.03302660277298008
138,793907,10002,0.03302660277298008
141,64053,10002,0.05984084837339025
143,73477,10002,0.05091633906877967
143,73476,10002,0.03954205491397978
147,709524,10002,0.039590587989784855
148,835652,10002,0.04192436701919826
151,73476,10002,0.059610660028100844
159,820372,10002,0.020931795983293162
159,329041,10002,0.048897495183443135
159,73562,10002,0.048897495183443135
159,73422,10002,0.048897495183443135
160,73477,10002,0.021992932042147275
160,73476,10002,0.04410321207631933
161,444459,10002,0.05611318500231401
162,820539,10002,0.0367392686181862
163,151021,10002,0.059841434032607825
167,73557,10002,0.056065164905353036
167,773173,10002,0.03858421831501044
169,840218,10002,0.027759107519282282
169,616797,10002,0.05884967504662682
170,768543,10002,0.007846478574280596
170,903962,10002,0.017211531174576564
173,329041,10002,0.007935818801733344
173,73562,10002,0.007935818801733344
173,73422,10002,0.007935818801733344
174,73477,10002,0.05634700863052818
175,782860,10002,0.05862296321234456
183,51722,10002,0.0462456911813142
183,747475,10002,0.0462456911813142
183,800085,10002,0.0462456911813142
184,74169,10002,0.023538110176660666
184,266531,10002,0.023538110176660666
189,73423,10002,0.05347370675108687
190,338029,10002,0.05155492320107857
190,396891,10002,0.05321973673457564
190,908644,10002,0.014354268851214599
192,444459,10002,0.04888635419290088
199,820539,10002,0.03977344640201173
218,741997,10003,0.0504317279234842
247,906583,10003,0.057770139945079214
261,709555,10003,0.025068049815132724
291,741987,10003,0.017367737548938295
291,906583,10003,0.046285274016109795
640,698848,10007,0.031131243119526145
673,698848,10007,0.044856782765574706
802,730526,10009,0.03098931679703399
802,627129,10009,0.039308689725453566
802,780704,10009,0.04127348826748833
804,384253,10009,0.05842790041098567
825,730526,10009,0.052623954050819495
830,72446,10009,0.04344402256986097
830,64274,10009,0.028838917712638846
830,711039,10009,0.05324724740042053
831,64266,10009,0.049655339739061846
836,299734,10009,0.036176683516589994
836,358298,10009,0.03585395651863271
838,299734,10009,0.038892263078171715
841,709528,10009,0.05788995322700715
841,760214,10009,0.05596558203063761
843,73508,10009,0.05285579450673894
843,627129,10009,0.03240884125674804
843,780704,10009,0.04493832433370608
847,124303,10009,0.03994733633554367
852,72446,10009,0.02498360964422577
860,661574,10009,0.010706983676484353
866,661574,10009,0.02532321050439674
877,661574,10009,0.006967726367629572
880,661574,10009,0.054348378992772166
881,720105,10009,0.04111783993855494
890,709528,10009,0.04821698618547842
890,760214,10009,0.050142442453075
1034,709546,10011,0.03641000665597099
1047,863711,10011,0.04940030427959567
1083,741990,10011,0.024004637487189364
1084,902868,10011,0.04578209278295037
1108,693059,10012,0.03783228836817519
1125,693059,10012,0.044085511738834925
1216,73581,10013,0.028560768350293076
1216,73506,10013,0.028560768350293076
1306,613980,10014,0.05235247780954704
1343,839931,10014,0.029981759266370037
1350,913240,10014,0.02800134390445935
1361,712081,10014,0.04979716712413936
1361,920666,10014,0.04979716712413936
1434,866851,10016,0.05102430568897548
1713,52235,10019,0.05376135638311051
1713,826825,10019,0.05004051325254271
1719,52235,10019,0.029136820999581883
1741,380174,10019,0.03637567483964929
1741,73566,10019,0.040260530661408736
1742,826115,10019,0.026789839845362914
1780,741983,10019,0.029251215416192813
1794,52235,10019,0.019313015723483883
1943,825380,10021,0.02753835803272235
2119,805702,10023,0.05171603220002731
2120,817242,10023,0.05759453015705539
2130,905115,10023,0.05726562369572984
2135,892293,10023,0.05252790897036556
2152,805702,10023,0.05871064706662878
2152,879326,10023,0.02543173229263092
2158,817242,10023,0.04818295843433603
2178,804630,10023,0.053280902413474204
2178,808445,10023,0.049407295652889004
2219,702707,10024,0.03851163667743072
2219,663226,10024,0.05945872389905463
2228,638201,10024,0.032761016154308986
2233,613926,10024,0.04211860409059341
2252,563447,10024,0.010606983435474235
2297,741994,10024,0.027575193912437533
2297,822384,10024,0.027575193912437533
2297,741992,10024,0.027575193912437533
2311,895454,10025,0.03333487636428235
2314,895454,10025,0.052366571619580776
2315,149672,10025,0.02663022765353359
2315,158689,10025,0.045889710482972364
2322,837717,10025,0.04498277130178707
