facility_id,facility_name,zipcode,program_type,n_f,b_f,U_f,U_f_int,cslot_f,alpha_big_f,x_added,x_total_added,u_under5_added,delta_triggered,selected_cost_regime,expansion_cost,under5_equipment_cost_expansion,total_facility_related_cost
223774,Sunnyside Community Services Beacon Prog. @IS5,11373,SACC,385.0,0.0,462.0,462,250,251.94805194805195,462.0,462.0,462.0,1,high_cost_rule,116400.0,46200.0,162600.0
339132,"New York Edge, Inc.",10475,SACC,375.0,0.0,450.0,450,250,253.33333333333337,450.0,450.0,450.0,1,high_cost_rule,114000.0,45000.0,159000.0
247312,Jewish Institute of Queens @ Costar,11373,SACC,367.0,0.0,440.4,440,250,254.4959128065395,440.0,440.0,440.0,1,high_cost_rule,111978.20163487739,44000.0,155978.2016348774
435668,Yeshiva Kehilath Yakov,11218,SACC,366.0,0.0,439.2,439,250,254.6448087431694,439.0,439.0,439.0,1,high_cost_rule,111789.07103825136,43900.0,155689.07103825136
280657,Big Apple Institute,11223,SACC,366.0,0.0,439.2,439,250,254.6448087431694,439.0,439.0,439.0,1,high_cost_rule,111789.07103825136,43900.0,155689.07103825136
243205,NIA COMMUNITY SERVICES NETWORK @ IS-281,11214,SACC,360.0,0.0,432.0,432,250,255.55555555555551,432.0,432.0,432.0,1,high_cost_rule,110399.99999999999,43200.0,153600.0
73733,SAMUEL FIELD Y/ BAY TERRACE @ PS.169,11360,SACC,360.0,0.0,432.0,432,250,255.55555555555551,432.0,432.0,432.0,1,high_cost_rule,110399.99999999999,43200.0,153600.0
709804,"New York Edge, Inc.",10462,SACC,359.0,0.0,430.8,430,250,255.71030640668525,430.0,430.0,430.0,1,high_cost_rule,109955.43175487466,43000.0,152955.43175487465
434914,BCA After School Program @ PS 205,11204,SACC,350.0,0.0,420.0,420,250,257.14285714285717,420.0,420.0,420.0,1,high_cost_rule,108000.0,42000.0,150000.0
73548,The Children's Aid Society @PS 5,10034,SACC,677.0,0.0,500.0,500,250,229.5420974889217,408.0,408.0,408.0,0,low_cost_rule,102000.0,40800.0,142800.0
232835,FIAO Beacon Community Ctr @ IS 96,11204,SACC,339.0,0.0,406.8,406,250,258.99705014749264,406.0,406.0,406.0,1,high_cost_rule,105152.80235988201,40600.0,145752.80235988201
825380,"Manhattan Youth Recreation & Resources, Inc. @ Wagner JHS 167",10021,SACC,460.0,0.0,500.0,500,250,243.4782608695652,392.0,392.0,392.0,0,low_cost_rule,98000.0,39200.0,137200.0
101469,Police Athletic League @TASC Petrides PS 80,10301,SACC,326.0,0.0,391.2,391,250,261.3496932515337,391.0,391.0,391.0,1,high_cost_rule,102187.73006134969,39100.0,141287.7300613497
796138,"South Queens Boys & Girls Club, Inc.",11418,SACC,326.0,0.0,391.2,391,250,261.3496932515337,391.0,391.0,391.0,1,high_cost_rule,102187.73006134969,39100.0,141287.7300613497
843618,Coalition For Hispanic Family Services @ PS 7,11373,SACC,324.0,0.0,388.8,388,250,261.7283950617284,388.0,388.0,388.0,1,high_cost_rule,101550.6172839506,38800.0,140350.61728395062
709843,CAMBA Inc. I.S. 240,11210,SACC,320.0,0.0,384.0,384,250,262.5,384.0,384.0,384.0,1,high_cost_rule,100800.0,38400.0,139200.0
904017,Commonpoint Queens,11435,SACC,317.0,0.0,380.4,380,250,263.09148264984225,380.0,380.0,380.0,1,high_cost_rule,99974.76340694004,38000.0,137974.76340694004
73374,YMCA Prospect Pk Virtual Y @ PS 200,11214,SACC,309.0,0.0,370.8,370,250,264.72491909385116,370.0,370.0,370.0,1,high_cost_rule,97948.22006472493,37000.0,134948.2200647249
244575,Woodside On The Move After School Program PS 11,11377,SACC,309.0,0.0,370.8,370,250,264.72491909385116,370.0,370.0,370.0,1,high_cost_rule,97948.22006472493,37000.0,134948.2200647249
721302,"New York Edge, Inc.",11221,SACC,306.0,0.0,367.2,367,250,265.359477124183,367.0,367.0,367.0,1,high_cost_rule,97386.92810457516,36700.0,134086.92810457514
895448,BEST PREP,11357,SACC,305.0,0.0,366.0,366,250,265.57377049180326,366.0,366.0,366.0,1,high_cost_rule,97200.0,36600.0,133800.0
718893,Bergen Basin @ Fillmore Academy,11234,SACC,304.0,0.0,364.8,364,250,265.7894736842105,364.0,364.0,364.0,1,high_cost_rule,96747.36842105263,36400.0,133147.36842105264
833025,BPA OF NY INC. @ PS 29,11356,SACC,304.0,0.0,364.8,364,250,265.7894736842105,364.0,364.0,364.0,1,high_cost_rule,96747.36842105263,36400.0,133147.36842105264
327106,Coalition for Hispanics Family Services@I.S. 291,11221,SACC,301.0,0.0,361.2,361,250,266.4451827242525,361.0,361.0,361.0,1,high_cost_rule,96186.71096345516,36100.0,132286.71096345515
243204,NIA COMMUNITY SERVICES NETWORK @ PS 229,11228,SACC,301.0,0.0,361.2,361,250,266.4451827242525,361.0,361.0,361.0,1,high_cost_rule,96186.71096345516,36100.0,132286.71096345515
