facility_id,facility_name,program_type,zipcode,latitude,longitude,n_f,b_f,cut1,cut2,cut3,cap1,cap2,cap3,U_f_realistic,coef1,coef2,coef3,geo_missing_flag
675945,Yusans 1ST Steps Inc.,GFDC,10454,40.808534,-73.913077,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
71743,"Delnegro, Nancy",GFDC,10312,40.561107,-74.181368,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
514334,"Esteves, Paula",GFDC,11221,40.691988,-73.92845,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
861284,The BeeHive Daycare LLC,GFDC,10463,40.886712,-73.90319,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
247404,"Turner, Dana",FDC,10002,40.710371,-73.98999,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
237212,The Salvation Army @ Sunset Gains After School Program,SACC,11220,40.644657,-74.009845,60,0,6,9,12,6,3,3,12,533.3333333333334,733.3333333333334,1333.3333333333333,False
318347,"Dabydeen, Basmatie",GFDC,11435,40.696081,-73.805897,12,12,1,1,2,1,0,1,2,1866.6666666666667,2066.6666666666665,2666.6666666666665,False
854827,"Moreno, Nelly",GFDC,10452,40.841389,-73.912897,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
331136,La Asociacion Benefica Cutural Father Billini,SACC,11368,40.7545,-73.863271,105,0,10,15,21,10,5,6,21,390.4761904761905,590.4761904761905,1190.4761904761904,False
547464,"Cortes Cuestas, Luz",FDC,11369,40.769325,-73.872423,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
824851,Prestige Child Care Corp,GFDC,10033,40.851435,-73.934742,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
874430,GIGGLE GARDEN DAY CARE INC,GFDC,11367,40.726017,-73.824659,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
848778,"Gonzalez De Figueroa, Yesika",GFDC,10460,40.831427,-73.887596,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
73855,STEPPING STONE PRE-GRADE SCHOOL,SACC,11411,40.700524,-73.748386,27,0,2,4,5,2,2,1,5,940.7407407407408,1140.7407407407406,1740.7407407407406,False
876055,The Kids Play House Day Care,GFDC,10452,40.8429,-73.913375,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
715176,"Brooks, Glenford",GFDC,10302,40.633442,-74.142443,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
689120,"T S L V, Inc.",GFDC,11238,40.6785,-73.96318,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
857431,"Minaya Gomez Sr, Marbelys",GFDC,10463,40.883374,-73.897935,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
839407,"Special Star Group Day Care , Inc .",GFDC,11210,40.626581,-73.934676,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
656194,"Alexander-Benn, Laurencia",GFDC,10303,40.63272,-74.165429,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
871218,Bright Horizons at Fifth Avenue,SACC,10020,40.757482,-73.97818,32,0,3,4,6,3,1,2,6,825.0,1025.0,1625.0,False
225499,"Ortiz, Maria",GFDC,10453,40.847961,-73.908821,12,12,1,1,2,1,0,1,2,1866.6666666666667,2066.6666666666665,2666.6666666666665,False
867554,"Ortiz, Clara",GFDC,10467,40.870786,-73.866042,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
821324,"Boiano, Maria",GFDC,10465,40.84646,-73.821353,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
428176,Adi Day Care Inc.,GFDC,10468,40.874168,-73.887813,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
833097,My Little Sunshine Family Group Daycare Corp,GFDC,11207,40.68313,-73.886646,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
262468,TINY TOTS GROUP FAMILY DAYCARE,GFDC,11436,40.679114,-73.798692,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
811553,"The Child Center of NY, Inc.",SACC,11692,40.594991,-73.787624,144,0,14,21,28,14,7,7,28,338.8888888888889,538.8888888888889,1138.888888888889,False
555644,"ASPIRA OF NEW YORK, INC.",SACC,10455,40.812732,-73.905938,164,0,16,24,32,16,8,8,32,321.9512195121951,521.9512195121952,1121.9512195121952,False
68193,"Ilyayev, Inna",FDC,11374,40.730615,-73.857784,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
324884,"Flete, Zoila",GFDC,10458,40.868159,-73.889288,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
839139,"Williams, Andrea",GFDC,10303,40.625613,-74.148378,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
71421,Contemporary Day Care,GFDC,11413,40.662569,-73.764952,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
709528,University Settlement @ MS 034,SACC,10009,40.726193,-73.974859,81,0,8,12,16,8,4,4,16,446.91358024691357,646.9135802469136,1246.9135802469136,False
73285,Good Shepherd Services @ PS 32,SACC,11231,40.680419,-73.991823,230,0,23,34,46,23,11,12,46,286.95652173913044,486.95652173913044,1086.9565217391305,False
133712,"Disintonio, Martha",GFDC,10453,40.847841,-73.908513,14,12,1,2,2,1,1,0,2,1628.5714285714287,1828.5714285714287,2428.5714285714284,False
465908,Aspiring Leaders Enrichment Center @ P.S. 107,SACC,11358,40.755808,-73.799422,141,0,14,21,28,14,7,7,28,341.84397163120565,541.8439716312057,1141.8439716312057,False
377810,"Samrioglu, Esra",GFDC,11209,40.61673,-74.037306,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
701226,Harmony Day Care,GFDC,11412,40.694958,-73.764908,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
180322,St. Christopher - Ottilie/P.S. 35,SACC,11233,40.681812,-73.935556,208,0,20,31,41,20,11,10,41,296.15384615384613,496.15384615384613,1096.1538461538462,False
862108,Little Libby's Munchkins,GFDC,11428,40.722146,-73.747617,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
625703,"Little Leaders Learning Castle, Corporation",GFDC,10303,40.629218,-74.165934,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
372138,Jeany in a Bottle Group Family Day Care,GFDC,11434,40.663486,-73.773524,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
274704,Niko's Day Care Centers,GFDC,11385,40.707336,-73.901838,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
843508,"Cornejo De Soto, Susana",FDC,10029,40.796669,-73.939517,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
839935,"Grand Street Settlement, Inc.",SACC,11206,40.708911,-73.943644,46,0,4,6,9,4,2,3,9,634.7826086956521,834.7826086956521,1434.7826086956522,False
797667,Brainy Bunch Prep Group Family Daycare,GFDC,11236,40.645354,-73.895046,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
239446,"Bendavidjoseph, Neomi",GFDC,11230,40.616806,-73.956105,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
72870,"Kips Bay Boys Club, Inc.",SACC,10473,40.817605,-73.856893,222,0,22,33,44,22,11,11,44,290.0900900900901,490.0900900900901,1090.0900900900901,False
142699,"Perez, Yajaira",GFDC,10034,40.865172,-73.922131,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
372005,"Barnes, Andrea",FDC,10457,40.850806,-73.892309,8,6,0,1,1,0,1,0,1,2700.0,2900.0,3500.0,False
617037,Evet's Day Care Inc.,GFDC,11207,40.673906,-73.889531,16,12,1,2,3,1,1,1,3,1450.0,1650.0,2250.0,False
